Model,Task,Name,Dropout,WeightDecay,LearningRate,BatchSize,Epochs,Accuracy,Precision,Recall,F1,AUROC,AUPRC,Sensitivity,Specificity
"Fusion (Concat, Half)",edema,VD0.1_TD0.1_LR5e-05_WD0.1_BS16_EP20,0.1,0.1,5e-05,16,20,0.8986111111111111,0.8983333333333333,0.8945785737309255,0.896232915250958,0.9676019465561836,0.9585602999628142,0.864951768488746,0.9242053789731052
"Fusion (Concat, Half)",effusion,VD0.1_TD0.1_LR5e-05_WD0.1_BS16_EP20,0.1,0.1,5e-05,16,20,0.9513888888888888,0.9511795974899218,0.9513157894736841,0.9512458428374919,0.9850464396284828,0.9878528250346523,0.9526315789473684,0.95
"Fusion (Concat, Half)",edema,VD0.1_TD0.1_LR0.0002_WD0_BS16_EP20,0.1,0.0,0.0002,16,20,0.9319444444444445,0.9292540792540793,0.9343194521969512,0.9311151419773938,0.979260843245623,0.9754539680951952,0.9517684887459807,0.9168704156479217
"Fusion (Concat, Half)",effusion,VD0.1_TD0.1_LR0.0002_WD0_BS16_EP20,0.1,0.0,0.0002,16,20,0.9555555555555556,0.9557291666666667,0.9551083591331269,0.9553889525697822,0.985859133126935,0.9885339893780282,0.9631578947368421,0.9470588235294117
"Fusion (Concat, Half)",edema,VD0.1_TD0.1_LR0.0002_WD0.01_BS16_EP20,0.1,0.01,0.0002,16,20,0.9430555555555555,0.9418363499245852,0.9421732875258453,0.9420029037841533,0.9806366402251591,0.9783030534371675,0.9356913183279743,0.9486552567237164
"Fusion (Concat, Half)",effusion,VD0.1_TD0.1_LR0.0002_WD0.01_BS16_EP20,0.1,0.01,0.0002,16,20,0.9430555555555555,0.9465608465608466,0.9409442724458205,0.9425876403948072,0.9794814241486067,0.9809547633899653,0.9789473684210527,0.9029411764705882
"Fusion (Concat, Half)",edema,VD0.1_TD0.1_LR0.0002_WD0.1_BS16_EP20,0.1,0.1,0.0002,16,20,0.9472222222222222,0.9454485679172766,0.9473816618055173,0.9463462081516112,0.9814070865336991,0.9783162261152374,0.9485530546623794,0.9462102689486552
"Fusion (Concat, Half)",effusion,VD0.1_TD0.1_LR0.0002_WD0.1_BS16_EP20,0.1,0.1,0.0002,16,20,0.9597222222222223,0.9600116301608839,0.9592105263157895,0.9595642701525054,0.9852708978328174,0.9877000742546951,0.968421052631579,0.95
"Fusion (Concat, Half)",edema,VD0.1_TD0.2_LR1e-05_WD0_BS16_EP20,0.1,0.0,1e-05,16,20,0.8611111111111112,0.8591218487070331,0.8654234703103012,0.8600735391288801,0.9319963207257919,0.9048811204041372,0.8971061093247589,0.8337408312958435
"Fusion (Concat, Half)",effusion,VD0.1_TD0.2_LR1e-05_WD0_BS16_EP20,0.1,0.0,1e-05,16,20,0.875,0.8745474798106376,0.8747678018575851,0.8746508406905036,0.9379102167182662,0.9323067448571227,0.8789473684210526,0.8705882352941177
"Fusion (Concat, Half)",edema,VD0.1_TD0.2_LR1e-05_WD0.01_BS16_EP20,0.1,0.01,1e-05,16,20,0.8388888888888889,0.8354376086905663,0.8381591050244106,0.8365570523909793,0.9185449571144427,0.8915424136648589,0.8327974276527331,0.843520782396088
"Fusion (Concat, Half)",effusion,VD0.1_TD0.2_LR1e-05_WD0.01_BS16_EP20,0.1,0.01,1e-05,16,20,0.9236111111111112,0.9231884057971014,0.9237616099071208,0.9234301735389374,0.9759984520123839,0.977688741650035,0.9210526315789473,0.9264705882352942
"Fusion (Concat, Half)",edema,VD0.1_TD0.2_LR1e-05_WD0.1_BS16_EP20,0.1,0.1,1e-05,16,20,0.8652777777777778,0.8621755061483045,0.8667796130472724,0.8637191177647126,0.9298029072555601,0.8952794402604147,0.8778135048231511,0.8557457212713936
"Fusion (Concat, Half)",effusion,VD0.1_TD0.2_LR1e-05_WD0.1_BS16_EP20,0.1,0.1,1e-05,16,20,0.8777777777777778,0.8773322194374826,0.8775541795665635,0.877436377564048,0.9410603715170279,0.9453231899738177,0.881578947368421,0.8735294117647059
"Fusion (Concat, Half)",edema,VD0.1_TD0.2_LR5e-05_WD0_BS16_EP20,0.1,0.0,5e-05,16,20,0.875,0.874561214986747,0.8699439461002052,0.8719003036437247,0.9465247368296922,0.9343154068439057,0.8327974276527331,0.9070904645476773
"Fusion (Concat, Half)",effusion,VD0.1_TD0.2_LR5e-05_WD0_BS16_EP20,0.1,0.0,5e-05,16,20,0.95,0.9499829610582732,0.9496904024767802,0.9498292801895338,0.9819349845201238,0.9809295645780307,0.9552631578947368,0.9441176470588235
"Fusion (Concat, Half)",edema,VD0.1_TD0.2_LR5e-05_WD0.01_BS16_EP20,0.1,0.01,5e-05,16,20,0.9125,0.9106878012606601,0.9179749840800635,0.9118673969600469,0.9683330843795942,0.959607672008711,0.9581993569131833,0.8777506112469438
"Fusion (Concat, Half)",effusion,VD0.1_TD0.2_LR5e-05_WD0.01_BS16_EP20,0.1,0.01,5e-05,16,20,0.9444444444444444,0.9454952712792434,0.943343653250774,0.9441531444882256,0.979295665634675,0.9741785949734455,0.9631578947368421,0.9235294117647059
"Fusion (Concat, Half)",edema,VD0.1_TD0.2_LR5e-05_WD0.1_BS16_EP20,0.1,0.1,5e-05,16,20,0.8944444444444445,0.8914870295944464,0.8959189930738449,0.893125,0.9660060220599218,0.9560095652166972,0.9067524115755627,0.8850855745721271
"Fusion (Concat, Half)",effusion,VD0.1_TD0.2_LR5e-05_WD0.1_BS16_EP20,0.1,0.1,5e-05,16,20,0.9458333333333333,0.9473612463485881,0.9445046439628483,0.9455154014067426,0.980982972136223,0.9831083473750517,0.968421052631579,0.9205882352941176
"Fusion (Concat, Half)",edema,VD0.1_TD0.2_LR0.0002_WD0_BS16_EP20,0.1,0.0,0.0002,16,20,0.9083333333333333,0.9169947156041716,0.8988985762466686,0.9048374306106265,0.9759825155858144,0.9745890089268479,0.8295819935691319,0.9682151589242054
"Fusion (Concat, Half)",effusion,VD0.1_TD0.2_LR0.0002_WD0_BS16_EP20,0.1,0.0,0.0002,16,20,0.9486111111111111,0.9485169442315287,0.9483746130030959,0.9484439318081974,0.9861532507739939,0.9867849177969055,0.9526315789473684,0.9441176470588235
"Fusion (Concat, Half)",edema,VD0.1_TD0.2_LR0.0002_WD0.01_BS16_EP20,0.1,0.01,0.0002,16,20,0.9416666666666667,0.9419711755348197,0.9390246778669644,0.9403743167890466,0.9825706176935353,0.9788742936865166,0.9196141479099679,0.9584352078239609
"Fusion (Concat, Half)",effusion,VD0.1_TD0.2_LR0.0002_WD0.01_BS16_EP20,0.1,0.01,0.0002,16,20,0.9430555555555555,0.9442421271330859,0.9418730650154798,0.9427453155698994,0.9815247678018575,0.9843156294394118,0.9631578947368421,0.9205882352941176
"Fusion (Concat, Half)",edema,VD0.1_TD0.2_LR0.0002_WD0.1_BS16_EP20,0.1,0.1,0.0002,16,20,0.9180555555555555,0.9153066923148521,0.9209388438588354,0.9171566476524792,0.9726648794408761,0.9652468721907463,0.9421221864951769,0.8997555012224939
"Fusion (Concat, Half)",effusion,VD0.1_TD0.2_LR0.0002_WD0.1_BS16_EP20,0.1,0.1,0.0002,16,20,0.9569444444444445,0.9574341783644109,0.9562693498452013,0.9567601914795105,0.987453560371517,0.989428520755947,0.968421052631579,0.9441176470588235
"Fusion (Concat, Half)",edema,VD0.2_TD0.1_LR1e-05_WD0_BS16_EP20,0.2,0.0,1e-05,16,20,0.8388888888888889,0.8359120174167707,0.8408556671043012,0.8372615039281706,0.9216424657426553,0.8937881823661766,0.8553054662379421,0.8264058679706602
"Fusion (Concat, Half)",effusion,VD0.2_TD0.1_LR1e-05_WD0_BS16_EP20,0.2,0.0,1e-05,16,20,0.9208333333333333,0.9207761619573723,0.9203560371517028,0.920549955377107,0.973297213622291,0.9749118051771071,0.9289473684210526,0.9117647058823529
"Fusion (Concat, Half)",edema,VD0.2_TD0.1_LR1e-05_WD0.01_BS16_EP20,0.2,0.01,1e-05,16,20,0.8541666666666666,0.8518369619000494,0.8577701082555681,0.8529683473525551,0.9357384885101298,0.9015322502170181,0.8842443729903537,0.8312958435207825
"Fusion (Concat, Half)",effusion,VD0.2_TD0.1_LR1e-05_WD0.01_BS16_EP20,0.2,0.01,1e-05,16,20,0.8625,0.8619710144927537,0.8624613003095976,0.8621743123700876,0.9375386996904025,0.9413047866808606,0.8631578947368421,0.861764705882353
"Fusion (Concat, Half)",edema,VD0.2_TD0.1_LR1e-05_WD0.1_BS16_EP20,0.2,0.1,1e-05,16,20,0.8361111111111111,0.8328793910189258,0.8372550098664298,0.8342644901526265,0.9157304695791634,0.8841578298373952,0.8456591639871383,0.8288508557457213
